date,time,event,platform,ad_id,ad_cost_type,ad_cost
2019-04-01,2019-04-01 9:12:42,view,ios,121288,CPM,187.4
2019-04-01,2019-04-01 9:19:42,view,android,121288,CPM,187.4
2019-04-01,2019-04-01 9:27:17,view,web,121288,CPM,187.4
2019-04-01,2019-04-01 9:29:48,view,web,121288,CPM,187.4
2019-04-01,2019-04-01 9:31:47,view,android,121288,CPM,187.4
2019-04-01,2019-04-01 9:31:47,view,ios,121288,CPM,187.4
2019-04-01,2019-04-01 9:32:24,view,ios,121288,CPM,187.4
2019-04-01,2019-04-01 9:34:45,view,ios,121288,CPM,187.4
2019-04-01,2019-04-01 9:34:45,view,android,121288,CPM,187.4
2019-04-01,2019-04-01 9:35:35,view,ios,121288,CPM,187.4
2019-04-01,2019-04-01 9:37:12,view,ios,121288,CPM,187.4
2019-04-01,2019-04-01 9:44:24,view,android,121288,CPM,187.4
2019-04-01,2019-04-01 9:45:02,view,android,121288,CPM,187.4
2019-04-01,2019-04-01 9:50:38,view,android,121288,CPM,187.4
2019-04-01,2019-04-01 9:50:56,view,android,121288,CPM,187.4
2019-04-01,2019-04-01 9:53:11,view,android,121288,CPM,187.4
2019-04-01,2019-04-01 10:00:11,view,ios,121288,CPM,187.4
2019-04-01,2019-04-01 10:00:39,view,web,121288,CPM,187.4
2019-04-01,2019-04-01 10:05:03,view,android,121288,CPM,187.4
2019-04-01,2019-04-01 10:05:20,view,android,121288,CPM,187.4
2019-04-01,2019-04-01 10:07:18,view,ios,121288,CPM,187.4
2019-04-01,2019-04-01 10:13:24,view,web,121288,CPM,187.4
2019-04-01,2019-04-01 10:13:35,view,android,121288,CPM,187.4
2019-04-01,2019-04-01 10:16:44,view,ios,121288,CPM,187.4
2019-04-01,2019-04-01 10:17:24,view,android,121288,CPM,187.4
2019-04-01,2019-04-01 10:18:32,view,android,121288,CPM,187.4
2019-04-01,2019-04-01 10:20:09,view,ios,121288,CPM,187.4
2019-04-01,2019-04-01 10:21:05,view,web,121288,CPM,187.4
2019-04-01,2019-04-01 10:30:51,view,web,121288,CPM,187.4
2019-04-01,2019-04-01 10:33:52,view,ios,121288,CPM,187.4
2019-04-01,2019-04-01 10:36:30,view,web,121288,CPM,187.4
2019-04-01,2019-04-01 10:36:48,view,android,121288,CPM,187.4
2019-04-01,2019-04-01 10:37:31,view,web,121288,CPM,187.4
2019-04-01,2019-04-01 10:41:41,view,android,121288,CPM,187.4
2019-04-01,2019-04-01 10:45:30,view,android,121288,CPM,187.4
2019-04-01,2019-04-01 10:48:42,view,android,121288,CPM,187.4
2019-04-01,2019-04-01 10:49:14,view,android,121288,CPM,187.4
2019-04-01,2019-04-01 10:49:27,view,web,121288,CPM,187.4
2019-04-01,2019-04-01 10:51:40,view,android,121288,CPM,187.4
2019-04-01,2019-04-01 10:53:16,view,android,121288,CPM,187.4
